"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","44","Trips per person per year","72291","66025","84824","83309",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","Trips per person per year","13050","12663","84824","83309",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","Trips per person per year","4350","3779","84824","83309",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","17","Trips per person per year","27963","23909","84824","83309",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","11","Trips per person per year","17258","15472","84824","83309",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","260","Trips per person per year","423481","377283","84824","83309",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","865","Trips per person per year","74771","62184","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","5","Trips per person per year","436","337","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","52","Trips per person per year","4450","3463","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","262","Trips per person per year","22674","19083","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","189","Trips per person per year","16370","14535","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","26","Trips per person per year","2204","1583","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","37","Trips per person per year","3172","2476","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","5","Trips per person per year","463","361","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","19","Trips per person per year","1599","1243","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","7","Trips per person per year","572","488","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","259","Trips per person per year","22361","18269","4504","4015",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","833","Trips per person per year","34400","29795","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","144","Trips per person per year","5924","5291","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","224","Trips per person per year","9232","7989","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","126","Trips per person per year","5212","4743","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","21","Trips per person per year","870","723","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","59","Trips per person per year","2452","2007","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","32","Trips per person per year","1302","1043","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","201","Trips per person per year","8305","7048","2152","2002",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","937","Trips per person per year","23049","19993","1283","1189",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","70","Trips per person per year","1717","1485","1283","1189",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","186","Trips per person per year","4578","3808","1283","1189",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","261","Trips per person per year","6418","5976","1283","1189",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","16","Trips per person per year","398","316","1283","1189",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","62","Trips per person per year","1520","1283","1283","1189",""
"Average trips per year by mode of transport","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
