"Measure","Income bracket","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2015/16-2017/18","White","ONS 5+2","K02000001","8","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2015/16-2017/18","White","ONS 5+2","K02000001","5","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2015/16-2017/18","White","ONS 5+2","K02000001","4","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2015/16-2017/18","White","ONS 5+2","K02000001","3","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2015/16-2017/18","White","ONS 5+2","K02000001","2","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2015/16-2017/18","White","ONS 5+2","K02000001","5","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2015/16-2017/18","White","ONS 5+2","K02000001","22","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2015/16-2017/18","White","ONS 5+2","K02000001","19","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2015/16-2017/18","White","ONS 5+2","K02000001","14","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2015/16-2017/18","White","ONS 5+2","K02000001","11","53,146"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2015/16-2017/18","White","ONS 5+2","K02000001","7","53,146"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2015/16-2017/18","White British","ONS 5+2","K02000001","8","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2015/16-2017/18","White British","ONS 5+2","K02000001","5","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2015/16-2017/18","White British","ONS 5+2","K02000001","4","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2015/16-2017/18","White British","ONS 5+2","K02000001","3","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2015/16-2017/18","White British","ONS 5+2","K02000001","2","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2015/16-2017/18","White British","ONS 5+2","K02000001","5","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2015/16-2017/18","White British","ONS 5+2","K02000001","23","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2015/16-2017/18","White British","ONS 5+2","K02000001","19","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2015/16-2017/18","White British","ONS 5+2","K02000001","14","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2015/16-2017/18","White British","ONS 5+2","K02000001","11","50,523"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2015/16-2017/18","White British","ONS 5+2","K02000001","7","50,523"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","8","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","6","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","4","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","3","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","3","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","7","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","16","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","20","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","17","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","11","2,623"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2015/16-2017/18","White non-British","ONS 5+2","K02000001","6","2,623"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","All","ONS 5+2","K02000001","8","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","All","ONS 5+2","K02000001","6","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","All","ONS 5+2","K02000001","4","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","All","ONS 5+2","K02000001","3","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","All","ONS 5+2","K02000001","2","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","All","ONS 5+2","K02000001","6","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","All","ONS 5+2","K02000001","21","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","All","ONS 5+2","K02000001","19","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","All","ONS 5+2","K02000001","14","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","All","ONS 5+2","K02000001","11","57,665"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","All","ONS 5+2","K02000001","7","57,665"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","7","372"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","7","372"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","6","372"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","4","372"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","3","372"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","4","372"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","13","372"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","21","372"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","18","372"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","10","372"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Any other Asian background","ONS 5+2","K02000001","6","372"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","9","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","6","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","5","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","3","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","2","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","8","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","15","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","19","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","17","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","10","2,453"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Asian/ Asian British","ONS 5+2","K02000001","6","2,453"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","9","269"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","5","269"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","4","269"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","1","269"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","1","269"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","1","269"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","18","269"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","22","269"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","27","269"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","8","269"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Bangladeshi","ONS 5+2","K02000001","3","269"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","7","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","25","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","22","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","15","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","9","1,248"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","8","1,248"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","11","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","3","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","5","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","1","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","1","221"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","9","221"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","23","221"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","15","221"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","14","221"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","9","221"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Chinese","ONS 5+2","K02000001","8","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","12","992"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","8","992"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","6","992"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","5","992"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","3","992"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Indian","ONS 5+2","K02000001","13","992"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","13","992"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","13","992"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","12","992"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Indian","ONS 5+2","K02000001","11","992"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Indian","ONS 5+2","K02000001","5","992"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","11","515"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","5","515"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","515"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","515"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","515"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","515"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","20","515"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","19","515"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","15","515"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","515"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","6","515"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","8","525"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","6","525"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","4","525"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","2","525"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","~","525"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","7","525"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","22","525"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","20","525"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","14","525"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","10","525"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Other ethnic group","ONS 5+2","K02000001","7","525"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","6","599"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","5","599"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","4","599"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","2","599"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","~","599"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","4","599"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","16","599"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","26","599"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","19","599"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","10","599"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","Pakistani","ONS 5+2","K02000001","7","599"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","White","ONS 5+2","K02000001","8","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","White","ONS 5+2","K02000001","6","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","White","ONS 5+2","K02000001","4","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","White","ONS 5+2","K02000001","3","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","White","ONS 5+2","K02000001","2","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","White","ONS 5+2","K02000001","6","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","White","ONS 5+2","K02000001","21","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","White","ONS 5+2","K02000001","19","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","White","ONS 5+2","K02000001","14","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","White","ONS 5+2","K02000001","11","52,924"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","White","ONS 5+2","K02000001","7","52,924"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","White British","ONS 5+2","K02000001","8","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","White British","ONS 5+2","K02000001","6","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","White British","ONS 5+2","K02000001","4","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","White British","ONS 5+2","K02000001","3","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","White British","ONS 5+2","K02000001","2","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","White British","ONS 5+2","K02000001","6","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","White British","ONS 5+2","K02000001","22","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","White British","ONS 5+2","K02000001","19","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","White British","ONS 5+2","K02000001","14","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","White British","ONS 5+2","K02000001","11","50,192"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","White British","ONS 5+2","K02000001","7","50,192"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","9","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","6","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","5","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","4","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","2","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","8","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","14","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","18","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","17","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","11","2,732"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2016/17-2018/19","White non-British","ONS 5+2","K02000001","5","2,732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2017/18-2019/20","All","ONS 5+2","K02000001","8","57,498"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2017/18-2019/20","All","ONS 5+2","K02000001","6","57,498"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2017/18-2019/20","All","ONS 5+2","K02000001","4","57,498"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2017/18-2019/20","All","ONS 5+2","K02000001","3","57,498"
