"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Gender","Type_of_role","Value","Value_type","Pay_per_pound_paid_to_White_staff_by_gender","Pay_per_pound_paid_to_male_staff_by_ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","Women","Medical","4733","GBP","0.9","0.85"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","Women","Medical","4613","GBP","0.88","0.86"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","Women","Medical","5240","GBP","N/A","0.87"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","All","Non-medical","2309","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","All","Non-medical","2221","GBP","0.95","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","All","Non-medical","2147","GBP","0.92","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","All","Non-medical","2187","GBP","0.94","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","All","Non-medical","2250","GBP","0.96","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","All","Non-medical","2328","GBP","1","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","White","ONS 2011 5+1","England","Country","All","Non-medical","2333","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","All","ONS 2011 5+1","England","Country","Men","Non-medical","2432","GBP","N/A","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Asian","ONS 2011 5+1","England","Country","Men","Non-medical","2247","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Black","ONS 2011 5+1","England","Country","Men","Non-medical","2100","GBP","0.84","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Mixed","ONS 2011 5+1","England","Country","Men","Non-medical","2228","GBP","0.89","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Other","ONS 2011 5+1","England","Country","Men","Non-medical","2248","GBP","0.9","N/A"
"NHS workforce mean monthly basic pay per full time equivalent","May-18","Month","Unknown","ONS 2011 5+1","England","Country","Men","Non-medical","2537","GBP","1.02","N/A"
