"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","London","33.6","576","1713","1646"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South East","43.2","223","516","593"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","South West","36.9","69","187","196"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All Region","39.5","1618","4093","4419"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North East","60.8","697","1147","1547"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","North West","63.5","1968","3100","3811"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","Yorkshire and the Humber","61.4","1392","2269","2770"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East Midlands","66.7","1302","1952","2396"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","West Midlands","64","1511","2362","2709"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","East","66.3","1677","2528","2964"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","London","48.4","1655","3419","3227"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South East","67.9","2535","3731","4322"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","South West","68.1","1637","2403","2670"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All Region","62.7","14375","22910","26416"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","Up to £99","All","17.9","35","195","242"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£100 to £199","All","38.9","592","1524","2059"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£200 to £299","All","50","1010","2021","2698"
"Percentage of households who own their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","£300 to £399","All","58.1","1253","2154","2650"
