"Ethnicity","geography","%"
"White","Rutland","89"
"White","Salford","81"
"White","Sandwell","76"
"White","Sefton","83"
"White","Sheffield","82"
"White","Shropshire","86"
"White","Slough","77"
"White","Solihull","83"
"White","Somerset","86"
"White","South Gloucestershire","86"
"White","South Tyneside","83"
"White","Southampton","83"
"White","Southend-on-Sea","84"
"White","Southwark","84"
"White","St. Helens","79"
"White","Staffordshire","84"
"White","Stockport","86"
"White","Stockton-on-Tees","85"
"White","Stoke-on-Trent","80"
"White","Suffolk","81"
"White","Sunderland","84"
"White","Surrey","86"
"White","Sutton","86"
"White","Swindon","84"
"White","Tameside","82"
"White","Telford and Wrekin","82"
"White","Thurrock","81"
"White","Torbay","82"
"White","Tower Hamlets","82"
"White","Trafford","88"
"White","Wakefield","79"
"White","Walsall","78"
"White","Waltham Forest","86"
"White","Wandsworth","91"
"White","Warrington","85"
"White","Warwickshire","85"
"White","West Berkshire","86"
"White","West Sussex","83"
"White","Westminster","82"
"White","Wigan","82"
"White","Wiltshire","84"
"White","Windsor and Maidenhead","89"
"White","Wirral","80"
"White","Wokingham","89"
"White","Wolverhampton","80"
"White","Worcestershire","84"
"White","York","85"
"Other","Barking and Dagenham","81"
"Other","Barnet","81"
"Other","Barnsley","78"
"Other","Bath and North East Somerset","75"
"Other","Bedford","61"
"Other","Bexley","82"
"Other","Birmingham","75"
"Other","Blackburn with Darwen","69"
"Other","Blackpool","82"
"Other","Bolton","69"
"Other","Bournemouth","80"
"Other","Bracknell Forest","85"
"Other","Bradford","67"
"Other","Brent","76"
"Other","Brighton and Hove","78"
"Other","Bristol, City of","75"
"Other","Bromley","82"
"Other","Buckinghamshire","74"
"Other","Bury","69"
"Other","Calderdale","50"
"Other","Cambridgeshire","82"
"Other","Camden","81"
"Other","Central Bedfordshire","74"
"Other","Cheshire East","67"
"Other","Cheshire West and Chester","74"
"Other","City of London","!"
"Other","Cornwall","80"
"Other","County Durham","68"
"Other","Coventry","64"
"Other","Croydon","78"
"Other","Cumbria","86"
"Other","Darlington","50"
"Other","Derby","73"
"Other","Derbyshire","68"
"Other","Devon","68"
"Other","Doncaster","58"
"Other","Dorset","63"
"Other","Dudley","69"
"Other","Ealing","77"
"Other","East Riding of Yorkshire","80"
"Other","East Sussex","65"
"Other","Enfield","76"
"Other","Essex","77"
"Other","Gateshead","59"
"Other","Gloucestershire","66"
"Other","Greenwich","81"
"Other","Hackney","84"
"Other","Halton","67"
"Other","Hammersmith and Fulham","79"
"Other","Hampshire","85"
"Other","Haringey","79"
"Other","Harrow","72"
"Other","Hartlepool","63"
"Other","Havering","77"
"Other","Herefordshire, County of","62"
"Other","Hertfordshire","83"
"Other","Hillingdon","77"
"Other","Hounslow","85"
"Other","Isle of Wight","0"
"Other","Isles of Scilly","!"
"Other","Islington","81"
"Other","Kensington and Chelsea","82"
"Other","Kent","81"
"Other","Kingston upon Hull, City of","73"
"Other","Kingston upon Thames","82"
"Other","Kirklees","70"
"Other","Knowsley","70"
"Other","Lambeth","84"
"Other","Lancashire","63"
"Other","Leeds","71"
"Other","Leicester","76"
"Other","Leicestershire","81"
"Other","Lewisham","80"
"Other","Lincolnshire","73"
"Other","Liverpool","64"
"Other","Luton","67"
"Other","Manchester","70"
"Other","Medway","88"
"Other","Merton","84"
"Other","Middlesbrough","42"
