"Ethnicity","Geography","boys","girls"
"White","Kensington and Chelsea","74","83"
"White","Kent","65","79"
"White","Kingston upon Hull, City of","61","75"
"White","Kingston upon Thames","70","79"
"White","Kirklees","60","74"
"White","Knowsley","56","74"
"White","Lambeth","71","80"
"White","Lancashire","63","76"
"White","Leeds","57","70"
"White","Leicester","51","63"
"White","Leicestershire","61","76"
"White","Lewisham","72","80"
"White","Lincolnshire","60","74"
"White","Liverpool","57","71"
"White","Luton","57","70"
"White","Manchester","60","73"
"White","Medway","63","78"
"White","Merton","64","74"
"White","Middlesbrough","58","71"
"White","Milton Keynes","58","74"
"White","Newcastle upon Tyne","67","77"
"White","Newham","65","75"
"White","Norfolk","60","75"
"White","North East Lincolnshire","61","76"
"White","North Lincolnshire","62","80"
"White","North Somerset","65","79"
"White","North Tyneside","67","78"
"White","North Yorkshire","64","77"
"White","Northamptonshire","62","76"
"White","Northumberland","67","82"
"White","Nottingham","56","71"
"White","Nottinghamshire","60","77"
"White","Oldham","59","73"
"White","Oxfordshire","62","76"
"White","Peterborough","54","70"
