"Ethnicity","Geography","%"
"White","Warrington","72"
"White","Warwickshire","70"
"White","West Berkshire","71"
"White","West Sussex","66"
"White","Westminster","76"
"White","Wigan","70"
"White","Wiltshire","68"
"White","Windsor and Maidenhead","73"
"White","Wirral","67"
"White","Wokingham","73"
"White","Wolverhampton","66"
"White","Worcestershire","71"
"White","York","72"
"Other","Barking and Dagenham","62"
"Other","Barnet","69"
"Other","Barnsley","78"
"Other","Bath and North East Somerset","58"
"Other","Bedford","50"
"Other","Bexley","72"
"Other","Birmingham","65"
"Other","Blackburn with Darwen","55"
"Other","Blackpool","73"
"Other","Bolton","60"
"Other","Bournemouth","55"
"Other","Bracknell Forest","77"
"Other","Bradford","58"
"Other","Brent","60"
"Other","Brighton and Hove","46"
"Other","Bristol, City of","67"
"Other","Bromley","76"
"Other","Buckinghamshire","58"
"Other","Bury","52"
"Other","Calderdale","50"
"Other","Cambridgeshire","73"
"Other","Camden","67"
"Other","Central Bedfordshire","70"
"Other","Cheshire East","54"
"Other","Cheshire West and Chester","68"
"Other","City of London","!"
"Other","Cornwall","65"
"Other","County Durham","52"
"Other","Coventry","58"
"Other","Croydon","70"
"Other","Cumbria","71"
"Other","Darlington","50"
"Other","Derby","64"
"Other","Derbyshire","52"
"Other","Devon","58"
"Other","Doncaster","58"
"Other","Dorset","56"
"Other","Dudley","58"
"Other","Ealing","63"
"Other","East Riding of Yorkshire","40"
"Other","East Sussex","55"
"Other","Enfield","71"
"Other","Essex","73"
"Other","Gateshead","54"
"Other","Gloucestershire","48"
"Other","Greenwich","71"
"Other","Hackney","76"
"Other","Halton","33"
"Other","Hammersmith and Fulham","73"
"Other","Hampshire","73"
"Other","Haringey","68"
"Other","Harrow","60"
"Other","Hartlepool","63"
"Other","Havering","68"
"Other","Herefordshire, County of","54"
"Other","Hertfordshire","69"
"Other","Hillingdon","65"
"Other","Hounslow","75"
"Other","Isle of Wight","0"
"Other","Isles of Scilly","!"
"Other","Islington","68"
"Other","Kensington and Chelsea","69"
"Other","Kent","70"
"Other","Kingston upon Hull, City of","62"
"Other","Kingston upon Thames","71"
"Other","Kirklees","66"
"Other","Knowsley","70"
"Other","Lambeth","71"
"Other","Lancashire","55"
