"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","London Underground","66","Miles per person per year","90291","74016","15665","12775","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Motorcycle ","37","Miles per person per year","50589","44405","4961","4324","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Non-local bus","52","Miles per person per year","71311","69255","882","849","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Other local bus","210","Miles per person per year","287767","271324","61667","57542","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Other private transport","122","Miles per person per year","168079","170079","10267","10328","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Other public transport","45","Miles per person per year","61642","59956","4910","4407","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Surface Rail","541","Miles per person per year","742374","673914","26790","23544","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Taxi / minicab","55","Miles per person per year","75027","70694","15790","14568","71580","71551",""
"Average distance per year by mode of transport","2010/14","5-year rolling average","White","ONS 2011 5+1","Walk","194","Miles per person per year","265967","240325","411714","362609","71580","71551",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","6622","Miles per person per year","10357973","9787491","1650866","1515206","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","53","Miles per person per year","82905","73076","27500","24066","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","81","Miles per person per year","126069","109554","39071","34210","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","3294","Miles per person per year","5151706","4889450","610543","576784","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","1867","Miles per person per year","2920778","2829005","332626","318335","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","85","Miles per person per year","133571","109234","21633","17592","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","33","Miles per person per year","52339","45874","5103","4428","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","52","Miles per person per year","81191","76768","1023","963","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","205","Miles per person per year","320646","296661","68792","62995","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","109","Miles per person per year","170196","168372","10831","10577","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","41","Miles per person per year","64901","62943","5919","5316","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","554","Miles per person per year","866551","778112","33156","28839","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","55","Miles per person per year","85312","79241","17745","16116","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","193","Miles per person per year","301806","269201","476924","414985","81557","80608",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All modes","4469","Miles per person per year","488480","420688","103325","87082","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bicycle","14","Miles per person per year","1504","1214","698","566","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Bus in London","209","Miles per person per year","22868","18936","6814","5771","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van driver","1806","Miles per person per year","197408","172866","27292","23980","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Car / van passenger","1186","Miles per person per year","129638","117817","18926","17071","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","London Underground","221","Miles per person per year","24167","18975","3180","2458","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Motorcycle ","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Non-local bus","?","Miles per person per year","?","?","?","?","?","?","Suppresed"
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other local bus","149","Miles per person per year","16305","13052","3453","2800","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other private transport","45","Miles per person per year","4968","4488","365","350","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","24","Miles per person per year","2670","2265","490","395","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","524","Miles per person per year","57260","45302","3104","2512","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","41","Miles per person per year","4462","3862","855","711","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","181","Miles per person per year","19795","16030","37965","30332","5699","5217",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","4360","Miles per person per year","213218","194715","50616","45902","2550","2517",""
"Average distance per year by mode of transport","2011/15","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","17","Miles per person per year","841","741","353","317","2550","2517",""
